time,x,y,z
0.018544,-0.0758,0.0706,0.2675
0.0355,-0.2555,0.256,-0.1179
0.047618,-0.1614,0.2227,-0.0038
0.065122,-0.0887,0.225,0.0821
0.066614,-0.1832,0.369,0.0565
0.081417,-0.2537,0.3449,-0.1597
0.086867,-0.0587,0.132,-0.3798
0.099685,0.207,0.0819,-0.29
0.114366,0.3723,0.1639,-0.0556
0.116996,0.3439,0.2186,0.0593
0.130701,0.2268,0.23,0.1782
0.137988,0.137,0.1726,0.1736
0.1477,0.0323,0.1397,0.0922
0.164822,-0.1716,0.1994,0.0911
0.167509,-0.2355,0.289,0.1992
0.18217,-0.1646,0.3161,0.2113
0.187583,-0.145,0.1918,0.1754
0.198061,-0.2378,0.0702,0.2052
0.215206,-0.2176,0.0063,0.3667
0.217797,-0.17,-0.0377,0.5206
0.23267,-0.0857,-0.0223,0.7861
0.2379,0.0585,0.0057,1.0033
0.25108,0.0433,0.0298,0.9571
0.265966,-0.0529,-0.0353,0.6967
0.26802,-0.1151,-0.1109,0.3446
0.282814,-0.0735,-0.1553,0.1601
0.288359,0.0321,-0.2277,0.1547
0.298404,0.1581,-0.3037,0.2421
0.314182,0.1782,-0.3682,0.34
0.318391,0.1211,-0.3235,0.39
0.3313,-0.0449,-0.2202,0.5078
0.339499,-0.1612,-0.0877,0.5673
0.349501,-0.2537,-0.0395,0.6329
0.365701,-0.3182,0.0331,0.4877
0.368899,-0.3365,-0.038,0.0981
0.382622,-0.2482,-0.1218,-0.1421
0.400817,-0.1192,-0.0795,-0.2264
0.416238,-0.1917,-0.0407,0.0011
0.431318,-0.1348,-0.1899,0.6416
0.439801,-0.2139,-0.1058,0.9205
0.449865,-0.3165,-0.2281,1.2496
0.465455,-0.4267,-0.5047,1.5702
0.469898,-0.7379,-0.7027,1.7591
0.482026,-1.0889,-0.7921,1.9075
0.50037,-1.4796,-0.793,1.9333
0.50061,-1.7502,-0.7551,1.8079
0.515129,-1.9731,-0.8585,1.8118
0.519944,-1.9067,-1.0163,1.6782
0.536415,-1.6624,-1.2118,1.4039
0.554002,-1.0807,-1.238,0.5803
0.564972,-0.8435,-0.9793,-1.0347
0.583148,-1.3079,-0.8845,-2.0751
0.595529,-1.3769,-0.7378,-2.615
0.600433,-0.588,-1.4553,-7.2074
0.612589,0.2709,-1.2391,-10.8233
0.620645,-2.0197,2.7783,-0.4348
0.632916,-1.9771,0.8568,1.3464
0.643699,-1.5438,-1.3654,1.7872
0.650712,-1.9459,-1.2668,5.1746
0.662169,-2.2917,-1.2836,3.0413
0.670939,-2.5792,-0.8038,-1.0471
0.681431,-0.1896,0.4867,-5.3939
0.697505,1.2516,1.7656,-9.5517
0.701233,0.9401,2.624,-10.584
0.715479,0.9487,2.7352,-9.6734
0.721399,1.2661,2.1004,-7.256
0.732163,1.1894,1.6082,-4.452
0.76784,1.1208,0.9696,-2.3584
0.781961,-1.5295,0.8165,0.998
0.794614,-1.9636,1.2608,1.6765
0.801777,-1.1079,0.6762,1.8154
0.813689,-0.1097,0.2472,1.3399
0.822059,-0.1683,0.1684,0.5742
0.832657,-0.5477,0.4865,-0.3502
0.849043,-1.1091,0.6303,-1.1487
0.852083,-1.3249,0.6856,-1.4291
0.864678,-1.343,0.7345,-1.2979
0.882114,-0.4913,0.0928,-0.5752
0.88278,-0.0236,-0.4322,-1.9632
0.898922,0.5718,-0.3267,-2.6213
0.902684,0.5864,0.0792,-2.3144
0.915435,0.521,-0.1719,-1.6236
0.923563,-0.6779,0.362,-0.6094
0.933838,-1.7865,1.5364,-0.1647
0.949154,-1.6927,1.5692,0.17
0.952994,-1.4502,0.9913,0.5052
0.963812,-1.3397,0.4143,0.7411
0.982285,-0.7739,-0.1372,0.8617
0.983531,-0.2894,-0.3586,1.0407
0.998358,0.1833,-0.7159,0.9369
1.003446,0.3464,-1.112,0.3416
1.014843,0.1884,-1.27,-0.2871
1.032484,0.1882,-1.3321,-0.898
1.033885,1.1192,-1.4218,-1.1475
1.048002,1.7263,-1.5649,-1.6675
1.053771,1.7329,-1.5536,-1.5267
1.064905,1.865,-1.5118,-0.8712
1.085119,2.145,-1.4451,-0.284
1.085288,2.3936,-1.4303,-0.0543
1.101642,2.4175,-1.4925,-0.1098
1.104235,2.1868,-1.5283,-0.6046
1.11621,0.5012,-0.8045,-0.6406
1.13149,-0.8145,-0.4936,-1.6267
1.134492,-2.9427,0.6527,0.1909
1.146805,-1.2544,0.1216,-0.3543
1.155211,-0.7862,0.305,0.0942
1.165042,-0.5411,0.3557,0.1977
1.182444,-0.0133,0.2143,0.4334
1.18498,0.5661,-0.1619,0.4056
1.198058,0.2914,-0.0174,0.1945
1.205658,-0.0994,0.4574,-0.1617
1.214999,-0.382,0.5277,-0.4296
1.23139,-0.364,0.0511,-0.4274
1.235336,-0.4273,-0.2334,-0.2108
1.248431,-0.3219,-0.1059,-0.1285
1.255989,-0.1643,0.2171,-0.1057
1.265827,-0.0043,0.7203,-0.2177
1.283716,-0.0993,0.9661,-0.1084
1.285596,-0.115,1.1893,-0.0027
1.299658,-0.7114,1.6822,0.173
1.305644,-0.5127,1.8109,0.3573
1.315704,-0.7424,2.0904,0.6475
1.33167,-1.1088,2.6134,0.9135
1.335868,-1.4531,3.5292,0.7112
1.347766,-2.3645,4.1039,0.5145
1.356393,-2.8594,3.8701,0.5766
1.366187,-2.756,3.6558,0.8433
1.383211,-2.3941,3.8146,0.9413
1.386251,-1.8273,3.7603,0.7578
1.400638,-1.6542,3.3236,0.4537
1.416398,-1.4802,3.7123,0.0563
1.416881,-1.2918,4.0977,-0.1803
1.431112,-1.2637,3.9623,-0.2638
1.436664,-1.7599,4.5897,-0.4836
1.446784,-2.2642,4.9519,-1.2107
1.464782,-2.3909,5.018,-1.5264
1.466885,-2.379,4.9991,-1.563
1.481151,-2.6476,4.6148,-1.0378
1.48656,-2.696,4.3242,-0.5988
1.497456,-0.8856,2.5813,-0.4545
1.514299,-0.4338,-0.4024,-0.305
