time,x,y,z
1.782699,0.131,0.304,0.359
1.785163,0.13,0.292,0.393
1.788146,0.136,0.284,0.425
1.790242,0.148,0.285,0.46
1.798867,0.171,0.299,0.492
1.80334,0.378,0.405,0.588
1.805807,0.452,0.445,0.584
1.808468,0.534,0.486,0.572
1.820077,0.62,0.515,0.541
1.823138,1.18,0.743,0.218
1.826292,1.31,0.816,0.137
1.841683,1.445,0.901,0.049
1.862236,2.299,1.35,-0.662
1.880033,2.957,1.038,-1.788
1.883469,2.709,-1.435,-1.998
1.885914,2.648,-1.777,-2.005
1.888879,2.587,-2.092,-2.015
1.891057,2.538,-2.373,-2.022
1.900127,2.494,-2.596,-2.026
1.903626,2.338,-3.137,-1.922
1.906195,2.298,-3.208,-1.864
1.908806,2.25,-3.244,-1.792
1.919313,2.201,-3.252,-1.713
1.923752,1.952,-2.984,-1.29
1.938515,1.905,-2.888,-1.219
1.941477,1.552,-2.519,-0.937
1.957696,1.446,-2.535,-0.899
1.976908,0.39,-2.828,-0.591
1.97941,-0.414,-2.395,-0.527
1.984225,-0.527,-2.128,-0.458
1.986845,-0.568,-2,-0.411
1.989713,-0.6,-1.873,-0.358
1.991949,-0.625,-1.747,-0.307
1.998773,-0.643,-1.627,-0.252
2.001766,-0.644,-1.308,-0.098
2.004256,-0.634,-1.216,-0.046
2.006877,-0.614,-1.135,0.033
2.0181,-0.594,-1.07,0.142
2.022055,-0.483,-0.934,0.776
2.024677,-0.466,-0.931,0.903
2.038037,-0.447,-0.936,1.032
2.042204,-0.39,-0.95,1.865
2.057214,-0.387,-0.932,2.003
2.076166,-0.398,-0.688,2.817
2.08004,-0.547,0.058,3.014
2.082534,-0.572,0.137,2.992
2.085055,-0.595,0.208,2.968
2.087827,-0.621,0.271,2.944
2.090389,-0.648,0.33,2.916
2.098459,-0.673,0.388,2.881
2.102848,-0.778,0.576,2.727
2.105173,-0.802,0.621,2.682
2.118424,-0.822,0.654,2.63
2.122685,-0.702,0.695,2.032
2.125227,-0.586,0.723,1.932
2.138368,-0.447,0.776,1.878
2.157748,0.62,1.501,1.956
2.177396,0.689,1.631,0.429
2.19541,0.136,0.897,-0.969
2.198794,-0.504,-0.098,-1.233
2.201138,-0.572,-0.193,-1.212
2.203756,-0.639,-0.283,-1.184
2.206085,-0.699,-0.367,-1.152
2.208445,-0.761,-0.439,-1.114
2.216992,-0.82,-0.506,-1.072
2.221358,-1.024,-0.699,-0.888
2.22394,-1.067,-0.732,-0.841
2.235955,-1.106,-0.758,-0.798
2.239026,-1.254,-0.757,-0.642
2.241723,-1.271,-0.727,-0.625
2.255173,-1.287,-0.689,-0.615
2.259165,-1.31,-0.361,-0.633
2.273967,-1.307,-0.291,-0.641
2.292717,-1.262,0.162,-0.685
2.311585,-1.422,-0.228,-0.234
2.33134,-1.462,0.165,0.314
2.334818,-0.618,2.306,-0.113
2.337293,-0.494,2.544,-0.194
2.339646,-0.376,2.741,-0.27
2.342368,-0.264,2.896,-0.336
2.350479,-0.16,3.006,-0.389
2.354875,0.157,3.011,-0.498
2.357339,0.21,2.923,-0.501
2.369593,0.257,2.811,-0.498
2.372548,0.403,2.014,-0.415
2.374937,0.426,1.842,-0.39
2.388807,0.443,1.673,-0.362
2.392987,0.554,0.785,-0.206
2.407712,0.575,0.662,-0.178
2.42634,0.702,0.116,-0.045
2.445647,0.831,-0.006,0.079
2.464457,0.846,0.352,0.169
2.482936,0.699,0.788,0.217
2.488017,0.275,0.682,0.346
2.490943,0.216,0.62,0.357
2.502057,0.155,0.549,0.365
2.505506,-0.15,0.117,0.375
2.508085,-0.209,0.022,0.369
2.521335,-0.268,-0.075,0.361
2.525605,-0.594,-0.63,0.258
2.540303,-0.646,-0.708,0.235
2.560208,-0.923,-0.993,0.094
2.579036,-1.157,-0.855,-0.053
2.598123,-1.072,0.031,-0.089
2.616824,-0.661,0.996,0.075
2.636138,-0.236,1.209,0.235
2.654775,-0.046,0.579,0.235
2.673655,0.004,0.031,0.186
2.688283,-0.011,-0.107,0.104
2.70122,-0.087,-0.046,0.052
2.721027,-0.176,-0.024,0.045
2.740133,-0.279,-0.032,0.1
2.759753,-0.221,0.123,0.137
2.762735,-0.02,0.414,0.158
2.764905,0.008,0.441,0.168
2.767616,0.035,0.463,0.179
2.770015,0.058,0.479,0.189
2.772573,0.081,0.494,0.202
2.774993,0.103,0.5,0.217
2.783987,0.122,0.502,0.228
2.787549,0.176,0.465,0.29
2.789993,0.183,0.449,0.304
2.803417,0.188,0.428,0.318
2.807805,0.182,0.3,0.374
2.8222,0.176,0.281,0.379
2.82535,0.125,0.225,0.383
2.841696,0.118,0.229,0.382
2.860576,0.098,0.267,0.338
2.879553,0.17,0.279,0.214
2.898133,0.273,0.156,0.188
2.916971,0.294,-0.058,0.422
2.936133,0.232,-0.037,0.575
2.954981,0.205,0.184,0.395
2.973775,0.216,0.24,0.108
2.992239,0.222,-0.026,-0.106
2.996934,0.217,-0.544,-0.187
2.999126,0.212,-0.612,-0.189
3.001597,0.211,-0.682,-0.193
3.004127,0.208,-0.75,-0.197
3.006946,0.205,-0.816,-0.201
3.015014,0.203,-0.883,-0.205
3.019165,0.185,-1.116,-0.217
3.021897,0.178,-1.159,-0.221
3.024432,0.171,-1.196,-0.224
3.035821,0.164,-1.229,-0.231
3.039306,0.125,-1.326,-0.269
3.041759,0.119,-1.336,-0.277
3.055266,0.111,-1.345,-0.283
3.074991,0.076,-1.369,-0.337
3.093545,0.028,-1.311,-0.365
3.0974,-0.095,-1.18,-0.285
3.099698,-0.117,-1.162,-0.266
3.102243,-0.136,-1.137,-0.246
3.104751,-0.159,-1.11,-0.227
