time,x,y,z
0.005617,-1.237,-0.685,0.018
0.016055,-1.177,-0.657,0.068
0.025823,-1.094,-0.623,0.02
0.03056,-0.948,-0.55,-0.107
0.03801,-0.909,-0.523,-0.129
0.040705,-0.763,-0.407,-0.161
0.043326,-0.71,-0.351,-0.163
0.045823,-0.66,-0.286,-0.159
0.048355,-0.604,-0.22,-0.151
0.055772,-0.544,-0.155,-0.133
0.058779,-0.369,0.046,-0.039
0.060927,-0.308,0.106,0.004
0.063579,-0.25,0.162,0.048
0.072304,-0.198,0.215,0.088
0.076288,-0.042,0.363,0.22
0.07885,-0.013,0.385,0.25
0.081366,0.009,0.409,0.281
0.08886,0.032,0.433,0.311
0.091385,0.087,0.524,0.376
0.094194,0.097,0.556,0.392
0.096911,0.109,0.585,0.408
0.09901,0.112,0.61,0.419
0.10798,0.115,0.629,0.43
0.111583,0.104,0.662,0.429
0.114442,0.111,0.683,0.427
0.121309,0.12,0.72,0.434
0.124329,0.129,0.811,0.471
0.126747,0.113,0.803,0.478
0.129313,0.089,0.778,0.48
0.131654,0.058,0.745,0.473
0.138189,0.022,0.711,0.461
0.138412,-0.013,0.689,0.451
0.139426,-0.051,0.684,0.436
0.142052,-0.086,0.693,0.428
0.144518,-0.12,0.717,0.418
0.147054,-0.146,0.753,0.414
0.149344,-0.174,0.796,0.414
0.156168,-0.203,0.839,0.416
0.156504,-0.236,0.879,0.421
0.157179,-0.27,0.907,0.425
0.159411,-0.315,0.922,0.428
0.162121,-0.364,0.925,0.427
0.16569,-0.417,0.916,0.425
0.172659,-0.475,0.905,0.421
0.177018,-0.73,0.952,0.353
0.179595,-0.789,1.023,0.323
0.182164,-0.846,1.094,0.303
0.1888,-0.901,1.15,0.3
0.192342,-1.086,1.222,0.312
0.194708,-1.165,1.215,0.32
0.197363,-1.241,1.197,0.332
0.205465,-1.317,1.169,0.35
0.209669,-1.673,1.079,0.427
0.212631,-1.765,1.07,0.448
0.214927,-1.859,1.059,0.471
0.221591,-1.954,1.057,0.493
0.225084,-2.255,1.086,0.539
0.227512,-2.364,1.113,0.548
0.230024,-2.469,1.148,0.544
0.232506,-2.579,1.185,0.542
0.23842,-2.679,1.221,0.541
0.238695,-2.771,1.262,0.533
0.240155,-2.873,1.317,0.525
0.243117,-2.97,1.369,0.517
0.245271,-3.066,1.421,0.509
0.24766,-3.158,1.468,0.496
0.255227,-3.248,1.515,0.48
0.260079,-3.574,1.633,0.406
0.263073,-3.647,1.646,0.381
0.265238,-3.715,1.651,0.358
0.27266,-3.786,1.657,0.331
0.275304,-3.938,1.643,0.24
0.277831,-3.987,1.649,0.202
0.280336,-4.027,1.655,0.156
0.289042,-3.899,1.532,0.111
0.292967,-1.787,-0.599,-0.334
0.295548,-1.25,-1.514,-0.288
0.298386,-0.5,-3.037,-0.272
0.305555,0.053,-3.781,-0.382
0.308134,0.532,-2.508,-0.801
0.316824,0.883,-1.846,-0.889
0.334661,1.898,-0.653,-1.03
0.339593,3.321,0.325,-0.652
0.339683,3.265,0.387,-0.475
0.344349,3.184,0.219,-0.09
0.346044,3.161,0.018,0.091
0.348277,3.135,-0.224,0.249
0.355797,3.1,-0.468,0.382
0.358426,2.962,-1.025,0.704
0.360863,2.929,-1.13,0.773
0.363427,2.906,-1.176,0.821
0.37118,2.905,-1.143,0.855
0.375645,2.809,-0.616,0.955
0.378359,2.677,-0.569,0.964
0.38095,2.468,-0.648,0.954
0.387847,2.192,-0.843,0.914
0.391076,1.367,-1.301,0.647
0.393592,1.155,-1.302,0.526
0.39609,0.976,-1.246,0.393
0.398562,0.824,-1.134,0.255
0.404547,0.68,-0.984,0.114
0.404643,0.537,-0.806,-0.015
0.406162,0.389,-0.612,-0.123
0.408655,0.232,-0.399,-0.218
0.411074,0.071,-0.182,-0.294
0.41362,-0.086,0.022,-0.348
0.421009,-0.233,0.221,-0.382
0.423809,-0.602,0.878,-0.381
0.426208,-0.684,1.119,-0.347
0.428884,-0.739,1.345,-0.299
0.431342,-0.779,1.555,-0.243
0.437963,-0.811,1.733,-0.184
0.438067,-0.835,1.891,-0.122
0.439124,-0.855,2.026,-0.056
0.441586,-0.865,2.162,0.013
0.444015,-0.863,2.309,0.091
0.446554,-0.848,2.47,0.173
0.448944,-0.832,2.617,0.26
0.455286,-0.825,2.72,0.335
0.455386,-0.831,2.779,0.403
0.456568,-0.854,2.782,0.449
0.458913,-0.893,2.742,0.477
0.461545,-0.954,2.653,0.48
0.464232,-1.018,2.566,0.466
0.476465,-1.07,2.526,0.435
0.481648,-1.051,2.324,-0.122
0.487709,-0.998,2.234,-0.24
0.491955,-0.766,1.882,-0.565
0.494379,-0.662,1.77,-0.655
0.497234,-0.544,1.665,-0.736
0.499251,-0.421,1.573,-0.811
0.505664,-0.29,1.485,-0.874
0.509365,0.12,1.288,-0.981
0.512045,0.255,1.255,-0.99
0.514684,0.387,1.233,-0.983
0.521694,0.506,1.208,-0.96
0.524787,0.759,1.108,-0.861
0.527129,0.812,1.076,-0.827
0.529785,0.855,1.056,-0.797
0.532089,0.883,1.045,-0.772
0.538486,0.906,1.044,-0.753
0.538738,0.92,1.046,-0.739
0.53971,0.925,1.047,-0.732
0.54237,0.92,1.043,-0.731
0.545104,0.909,1.03,-0.737
0.547548,0.89,1.016,-0.747
0.555101,0.868,0.994,-0.765
0.559767,0.794,0.837,-0.819
0.562594,0.778,0.778,-0.822
0.564932,0.761,0.712,-0.823
0.571563,0.731,0.652,-0.819
0.574963,0.791,0.278,-0.808
0.577438,0.999,-0.039,-0.785
0.580115,1.238,-0.281,-0.767
0.582769,1.36,-0.289,-0.774
0.589295,1.378,-0.167,-0.798
0.592934,1.482,0.29,-0.747
0.595101,1.491,0.374,-0.756
0.597887,1.434,0.414,-0.815
0.60559,1.346,0.441,-0.892
0.610163,1.005,0.678,-1.057
0.613084,0.913,0.72,-1.085
0.615501,0.813,0.748,-1.115
0.622405,0.707,0.77,-1.15
0.625425,0.396,0.843,-1.217
0.627933,0.292,0.872,-1.229
0.630652,0.181,0.891,-1.248
0.638438,0.07,0.909,-1.278
0.643085,-0.356,0.921,-1.463
0.647635,-0.445,0.882,-1.509
0.647963,-0.524,0.826,-1.548
0.655007,-0.595,0.779,-1.58
0.657943,-0.769,0.649,-1.66
0.660301,-0.805,0.602,-1.69
0.663008,-0.834,0.556,-1.72
0.665557,-0.856,0.517,-1.747
0.674219,-0.867,0.487,-1.771
0.677991,-0.851,0.472,-1.809
0.680949,-0.815,0.485,-1.817
0.689925,-0.77,0.497,-1.821
0.69339,-0.477,0.535,-1.888
0.695777,-0.383,0.537,-1.911
0.698482,-0.292,0.533,-1.936
0.704997,-0.203,0.527,-1.948
0.708407,0.014,0.618,-1.954
0.710795,0.069,0.669,-1.947
0.713555,0.11,0.732,-1.935
0.716107,0.138,0.801,-1.921
0.721816,0.152,0.867,-1.898
0.722047,0.143,0.935,-1.866
0.724157,0.118,0.996,-1.828
0.7263,0.081,1.063,-1.781
0.729064,0.031,1.137,-1.736
0.731352,-0.034,1.24,-1.682
0.738144,-0.118,1.384,-1.597
