time,x,y,z
0.001328,-0.763,0.303,-1.678
0.015919,-0.3577,0.0746,-1.894
0.020689,-0.1698,-0.2274,-2.2215
0.03188,-0.2632,-0.3467,-2.6569
0.041139,-0.3703,-0.1566,-3.2412
0.050806,-0.4965,0.0702,-3.698
0.063138,-0.4182,0.3723,-3.8348
0.071335,3.4001,0.4072,5.729
0.081085,2.3543,1.0532,10.4158
0.097316,4.9291,2.1698,5.4202
0.101253,-1.6151,2.1397,1.0396
0.114954,-2.2735,2.2804,2.3385
0.121764,-2.619,0.8556,0.5217
0.134341,-3.7064,-0.1435,-1.5464
0.145211,-3.2942,-0.4389,-1.691
0.151662,2.4115,-0.1498,-2.3494
0.164034,3.4966,1.2648,-1.9349
0.17252,1.3455,0.5129,-2.2101
0.182115,-0.0533,-0.3598,-1.7177
0.196784,-0.2186,-0.0111,-0.3685
0.202814,-0.4611,1.1002,0.257
0.213313,-0.9545,1.0846,0.343
0.222609,-0.9325,0.3276,0.1796
0.232453,0.1735,-0.1076,-0.0748
0.246701,1.0067,-0.5774,-0.0161
0.25273,1.2434,-1.0753,0.2751
0.262961,1.5143,-1.2545,0.5401
0.273097,1.5652,-1.5361,0.5149
0.282762,0.9681,-1.6471,0.7306
0.29667,-0.466,-0.7407,0.5212
0.30346,0.1127,-0.2647,1.1056
0.314023,1.0379,-1.1361,1.1817
0.324008,1.3445,-1.7995,1.1734
0.333109,1.4228,-1.7344,1.0188
0.346528,1.2012,-1.7104,0.6169
0.353152,0.4618,-0.8243,0.4442
0.363489,-0.5425,0.3093,0.4589
0.373652,-0.7999,1.0216,0.6137
0.383788,-0.4376,0.7444,0.3934
0.401499,0.1975,0.6436,0.334
0.417374,0.3542,0.0004,0.5852
0.423491,0.3781,0.9097,1.5605
0.433821,-0.5034,1.2097,1.589
0.447292,-0.3041,1.3684,0.5817
0.453787,-0.2912,1.5219,0.0828
0.464441,-0.1945,0.9244,-0.3918
0.474407,0.0687,0.0168,-0.4528
0.495006,0.0828,-0.2963,-0.0026
0.509158,0.1647,-0.6602,0.5411
0.509247,0.8493,-1.0552,1.1234
0.514447,1.6345,-1.4732,1.5069
0.529682,2.2764,-1.8017,1.3473
0.534652,2.0479,-2.0188,-0.3261
0.547932,1.0439,-1.9319,-3.1385
0.554665,1.5909,-2.0597,-4.0212
0.565226,4.091,-2.2029,-4.9899
0.581357,4.0337,-2.792,-8.6519
0.58503,3.9768,-3.4702,-8.6309
0.597131,4.2686,-4.3067,-7.3615
0.605112,3.3708,-4.3798,-6.0788
0.615224,2.1937,-4.1059,-4.9776
0.630576,1.5186,-3.7557,-3.3774
0.635257,1.194,-3.7242,-2.0919
0.646195,1.6857,-3.1175,-1.1211
0.656028,1.4523,-2.9988,-0.7405
0.665725,1.3225,-2.628,-0.2283
0.680175,0.6493,-2.404,-0.0225
0.685598,-0.3474,-1.9546,0.2744
0.696224,-1.0748,-1.4683,0.6265
0.706272,-1.1145,-1.369,0.0343
0.716114,-0.6137,-1.1841,-0.9425
0.730282,-0.5566,-0.7288,-1.5169
0.736442,-0.8592,-0.5488,-1.9396
0.746331,-1.2624,-0.329,-1.9349
0.756709,-1.8282,-0.1847,-1.734
0.766318,-2.4,0.0979,-1.3054
0.779986,-2.8207,0.4536,-0.8797
0.786653,-2.7361,0.7678,-0.6618
0.796789,-1.8708,0.669,-0.5347
0.807069,-1.0905,0.4064,-0.6342
0.816864,-1.0044,0.5933,-0.8418
0.830024,-1.5183,0.7529,-0.8216
0.837327,-1.6453,0.9127,-0.8611
0.847295,-1.9445,1.0441,-0.6594
0.857542,-2.5617,1.4388,0.0839
0.867262,-2.9853,1.8195,0.9381
