time,x,y,z
0.005031,-0.243,1.072,0.134
0.009696,-0.174,1.167,0.114
0.0208,-0.148,1.163,0.106
0.024756,0.025,1.121,0.074
0.037456,0.064,1.11,0.071
0.042569,0.319,1.01,0.092
0.051945,0.37,0.994,0.113
0.055467,0.596,0.93,0.202
0.057688,0.654,0.91,0.231
0.060181,0.711,0.87,0.273
0.067067,0.762,0.823,0.328
0.07018,0.9,0.751,0.495
0.072765,0.937,0.74,0.553
0.075307,0.972,0.744,0.611
0.082932,0.998,0.759,0.669
0.085572,1.039,0.896,0.849
0.087998,1.039,0.969,0.915
0.090549,1.031,1.056,0.985
0.093333,1.016,1.151,1.054
0.099915,0.992,1.25,1.131
0.100195,0.961,1.352,1.204
0.100631,0.928,1.456,1.279
0.103112,0.889,1.551,1.346
0.106152,0.846,1.639,1.409
0.108253,0.801,1.706,1.465
0.116414,0.75,1.741,1.509
0.120672,0.572,1.714,1.661
0.123248,0.542,1.649,1.693
0.126075,0.515,1.565,1.725
0.132652,0.491,1.46,1.752
0.135777,0.432,1.028,1.808
0.13823,0.415,0.866,1.834
0.140877,0.394,0.698,1.864
0.143675,0.375,0.538,1.899
0.149457,0.35,0.39,1.936
0.149736,0.323,0.257,1.982
0.151156,0.294,0.139,2.031
0.15344,0.263,0.037,2.083
0.156033,0.232,-0.041,2.136
0.158684,0.201,-0.099,2.195
0.167027,0.166,-0.135,2.256
0.171276,0.061,-0.125,2.488
0.173765,0.038,-0.107,2.539
0.176279,0.014,-0.089,2.581
0.186192,-0.01,-0.07,2.618
0.188882,-0.099,-0.077,2.591
0.191026,-0.128,-0.112,2.523
0.193715,-0.155,-0.148,2.404
0.203828,-0.175,-0.184,2.234
0.206584,-0.208,-0.151,1.178
0.208836,-0.187,-0.085,0.864
0.21973,-0.153,-0.012,0.558
0.224108,0.153,0.157,-0.54
0.226554,0.233,0.139,-0.674
0.23416,0.317,0.107,-0.781
0.239169,0.698,-0.1,-1.073
0.241584,0.8,-0.174,-1.125
0.250948,0.901,-0.257,-1.17
0.254203,1.283,-0.402,-1.309
0.256737,1.349,-0.175,-1.323
0.259502,1.418,0.072,-1.337
0.267442,1.493,0.22,-1.349
0.271879,1.848,0.114,-1.295
0.274491,1.923,0.101,-1.246
0.277057,1.987,0.082,-1.185
0.283495,2.04,0.017,-1.111
0.287082,2.092,-0.63,-0.855
