time,x,y,z
0.016882,0.358,-0.0551,0.2318
0.034708,0.3227,-0.0558,0.3097
0.055431,0.3188,-0.0742,0.2375
0.055527,0.2461,0.1911,0.3922
0.073397,0.1614,0.5387,0.2338
0.078227,0.5371,0.364,-0.2991
0.091614,0.6305,0.2035,0.3911
0.098767,0.4564,0.1859,0.527
0.110134,0.44,0.0858,-0.1145
0.127481,0.5972,-0.2066,-0.6388
0.128774,0.4897,-0.4996,-0.7584
0.145609,0.5354,-0.783,-0.823
0.148669,0.6623,-0.9252,-0.7601
0.163244,0.7479,-0.831,-0.5151
0.18144,0.8051,-0.4151,-0.0198
0.181869,1.0433,-0.0287,0.5213
0.199147,1.0369,-0.0297,0.6613
0.199614,0.7708,-0.1403,0.4853
0.216882,0.5895,-0.2743,0.1449
0.234522,0.3767,-0.3096,0.2735
0.234939,0.236,-0.3299,0.5713
0.252449,0.1936,-0.4508,0.1658
0.252853,0.5289,-0.4378,-0.5331
0.269653,0.612,-0.557,-1.4217
0.269935,0.4613,-0.808,-2.0634
0.279974,0.0987,-0.8462,-2.0426
0.290692,-0.1545,-0.4709,-1.6215
0.300165,-0.2563,-0.0189,-0.7833
0.31038,0.0687,0.1913,0.05
0.327372,0.3187,0.2836,0.7203
0.330928,0.3438,0.2974,0.7234
0.353255,0.2228,0.3171,0.3623
0.353345,0.1397,-0.1852,0.4869
0.360495,0.3449,-0.2853,0.9635
0.373605,0.7066,-0.0631,1.845
0.380458,0.7917,0.2001,1.9284
0.395482,0.5056,0.4178,0.2132
0.400241,-0.2811,0.0451,-1.481
0.414486,-0.2806,-0.4021,-2.3711
0.432456,-0.7747,-0.9587,-2.7342
0.43262,-1.0122,-0.7232,-1.9727
0.450143,0.4443,0.2463,-0.7907
0.451025,1.1526,0.8229,-0.3363
0.461121,0.6824,1.0366,-2.0678
0.48459,-0.289,0.7285,-3.0202
0.485072,-1.0391,1.121,-2.8631
0.501943,-1.001,0.8027,-2.3512
0.502419,-0.5783,0.3656,-1.3516
0.520147,0.7049,-0.2248,-0.7473
0.538916,2.1248,-0.5842,-0.4259
0.557927,2.9201,-0.5791,-0.595
0.562069,3.2493,-0.8289,-1.2866
0.576201,2.8318,0.128,-3.7859
0.582643,-0.3624,2.1125,-0.7231
0.593942,-1.2323,0.1592,-0.0278
0.61155,-0.8113,-0.8743,-0.6478
0.612401,-0.7586,0.3505,-1.9546
0.629893,-0.6158,0.6322,-2.7324
0.632657,0.097,0.4303,-2.4145
0.647531,0.8834,0.8705,-0.8007
0.664725,1.1451,1.1368,0.9454
0.665225,0.5914,1.0593,2.5784
0.68264,-0.5933,0.983,3.7803
0.683162,-1.9658,1.064,4.3654
0.700569,-3.022,1.1182,4.2856
0.71834,-3.8961,1.2795,3.7944
0.719163,-4.1437,1.3725,2.8295
0.736184,-4.0943,1.3799,2.0526
0.736598,-3.5433,1.5063,1.6015
0.753489,-2.7392,1.6591,1.0157
0.753595,-2.3482,1.5488,0.8009
0.763205,-2.6358,1.3258,0.8656
0.775759,-3.2912,1.375,1.2754
0.784052,-3.6817,1.3244,1.6466
0.794005,-3.9178,1.3904,1.8402
0.805109,-4.1656,1.3754,1.8512
0.814833,-3.9005,1.3092,1.6416
0.833594,-3.6517,1.0709,1.7304
0.833816,-3.6451,0.7092,1.9111
0.849923,-3.8763,0.3746,2.2511
0.867242,-3.7749,-0.1398,2.3651
0.867361,-2.8814,-0.2775,2.281
0.885441,-0.8739,0.1982,1.7943
0.885537,0.9994,0.8085,0.9173
0.894865,2.4805,1.4727,0.561
0.908533,3.739,1.2235,0.1101
0.914295,4.3152,0.3043,-0.2771
0.926356,3.6602,0.5809,-0.1307
0.934782,3.1498,1.3334,0.0431
0.944671,3.5662,1.8055,-0.1867
0.962343,4.5883,2.1216,-0.4817
0.964615,5.422,1.7549,-0.7812
0.990198,5.477,1.5106,-0.8112
1.012699,3.585,1.0067,-1.1083
1.015418,3.2502,0.5636,-2.3043
1.031453,2.8223,0.3478,-3.8494
1.048335,2.4924,0.3219,-4.7469
1.048864,2.0878,-0.0653,-4.7662
1.066092,1.4663,-0.6106,-4.2046
1.066168,0.5934,-0.9756,-3.3767
1.084678,-0.2916,-1.2272,-2.3705
1.085955,-0.891,-1.2441,-1.7471
1.105451,-1.3862,-1.1279,-1.3596
1.105736,-1.8319,-1.0665,-0.8269
1.122968,-1.6587,-1.3672,-0.1843
1.140769,-1.4051,-1.4383,0.6452
1.158509,-0.2283,-1.0693,1.9945
1.176115,1.7802,-0.2143,2.5305
1.176512,3.4561,0.2141,1.9456
1.194022,3.7603,0.4265,1.2761
1.211484,2.8537,0.1079,0.8032
1.228605,-0.3371,-0.7735,0.699
1.24606,-1.925,-1.5008,1.1236
1.246946,-1.7108,-1.5058,0.9611
1.263621,-1.6273,-0.9259,0.4004
1.266889,-0.8498,-1.1835,-0.2983
1.281577,-0.4868,-0.5287,-0.5138
1.299099,0.4213,0.0667,-0.6212
1.299571,1.5911,-0.5142,-0.6225
1.316527,2.3283,-0.002,0.5427
1.317634,4.0351,0.8289,3.0563
1.334147,2.9419,1.2018,4.8137
1.351461,1.837,0.4026,1.3242
1.367939,-1.1306,2.4179,-1.3537
1.377822,-0.6756,2.5363,-0.6957
1.392012,-1.4871,2.9125,-0.9111
1.398727,-2.5315,3.16,-1.7547
1.411315,-3.5271,3.3414,-2.3541
1.429192,-4.3922,3.4986,-1.8883
1.429619,-4.8505,3.734,-0.5877
