time,x,y,z
0.019637,0.4173,0.4834,-0.4128
0.03925,0.4354,0.3811,-0.5508
0.045654,0.4509,0.4033,-0.6565
0.075293,0.4436,0.4398,-0.6878
0.090249,0.3619,0.3967,-0.2958
0.10144,0.312,0.3962,-0.1443
0.111485,0.3129,0.4357,-0.054
0.119747,0.3128,0.5047,-0.0712
0.126215,0.3053,0.5866,-0.1458
0.138046,0.3076,0.6478,-0.1982
0.1464,0.2988,0.6922,-0.2829
0.156289,0.2357,0.6637,-0.363
0.169905,0.1385,0.6231,-0.3674
0.17642,0.0799,0.5801,-0.3191
0.186671,0.0637,0.5984,-0.2704
0.196308,0.0894,0.6846,-0.2011
0.206339,0.1059,0.7532,-0.1023
0.221032,0.0327,0.7517,-0.0253
0.226409,-0.0397,0.7387,0.0667
0.23747,-0.054,0.6862,0.1882
0.246552,-0.1068,0.5968,0.2907
0.256947,-0.0857,0.5514,0.5098
0.27369,-0.0762,0.473,0.687
0.277416,-0.0775,0.4582,0.8213
0.290357,-0.0379,0.5123,0.8994
0.297826,0.0372,0.6474,0.802
0.307142,0.1042,0.7707,0.5842
0.32237,0.1416,0.7917,0.4108
0.327412,0.1555,0.7573,0.4278
0.337895,0.1711,0.7441,0.5358
0.348433,0.2391,0.7133,0.736
0.358299,0.2516,0.6409,0.9732
0.374581,0.2098,0.4452,1.1039
0.377685,0.2662,0.1305,1.3005
0.387999,0.3222,-0.2803,1.3926
0.405051,0.5839,-0.5321,1.2485
0.408115,0.573,-0.748,1.1437
0.4247,0.2955,-0.8889,1.3032
0.428228,0.0634,-1.0189,1.5536
0.439909,-0.1702,-1.0196,1.6437
0.455622,-0.3797,-0.938,1.615
0.458741,-0.548,-0.7298,1.5332
0.473667,-0.5483,-0.349,1.1834
0.478678,-0.4447,0.0126,0.7037
0.492143,-0.4052,0.2035,0.2344
0.506812,-0.3779,0.1671,-0.182
0.509096,-0.361,-0.0254,-0.6024
0.522046,-0.3967,-0.1752,-0.9358
0.529141,-0.4866,-0.1963,-1.079
0.539439,-0.6025,-0.0955,-1.0822
0.554047,-0.7487,0.0909,-1.1476
0.559235,-0.8529,0.2955,-1.2129
0.573183,-0.8481,0.3815,-1.1722
0.579767,-0.7532,0.3575,-1.0546
0.589612,-0.7414,0.2578,-0.8874
0.607245,-0.8202,0.1508,-0.7288
0.609914,-0.9203,-0.0037,-0.6356
0.624271,-1.0684,-0.1475,-0.5599
0.629633,-1.132,-0.2488,-0.5082
0.639919,-1.1974,-0.2935,-0.4339
0.656699,-1.1428,-0.257,-0.3024
0.660059,-0.9694,-0.1564,-0.1791
0.672584,-0.7126,-0.0713,-0.1102
0.680922,-0.5379,0.0336,-0.0946
0.690456,-0.4885,0.0989,-0.2622
0.706958,-0.4868,0.1627,-0.4658
0.710792,-0.4867,0.3051,-0.6804
0.724958,-0.4717,0.4526,-0.9237
0.730228,-0.4658,0.6088,-1.101
0.740907,-0.4377,0.7364,-1.2219
0.757025,-0.3537,0.7868,-1.2045
0.760803,-0.3139,0.8014,-1.1264
0.77093,-0.1531,0.8499,-1.0935
0.78895,0.12,0.7051,-1.1836
0.790824,0.335,0.5066,-1.179
0.807167,0.1145,0.5812,-1.4868
0.810918,0.0224,0.8068,-1.4968
0.822378,-0.0526,0.8747,-1.2021
0.83889,-0.0245,0.8677,-0.9234
0.841024,-0.0208,0.7777,-0.7741
0.856491,0.0012,0.6783,-0.7593
0.861912,0.007,0.6855,-0.7434
0.885993,-0.0777,0.785,-0.5032
0.898818,-0.1709,0.5418,-0.2
0.90732,-0.1843,0.3432,-0.2352
0.921973,-0.0064,0.1507,-0.4789
0.939554,0.179,0.268,-0.3096
0.94229,0.2182,0.5105,-0.1817
0.957652,0.1003,0.7308,-0.0106
0.96248,0.2315,0.8259,0.2553
0.974723,0.4298,0.7144,0.5888
0.987357,0.3918,0.5582,0.6315
0.992267,0.4196,0.4886,0.7216
1.005205,0.3121,0.5961,0.8045
1.013087,0.357,0.6033,0.9632
1.022936,0.2569,0.6269,0.9965
1.040814,0.1827,0.7047,1.0048
1.043045,0.1359,0.7246,1.0051
1.056959,-0.0533,0.6624,1.0835
1.062985,-0.1148,0.449,1.1457
1.073627,-0.1542,0.2567,1.2478
1.10228,0.2066,-0.0818,1.6397
1.127961,0.6507,-1.6987,2.3652
1.12814,0.5059,-1.8822,2.3864
1.14414,0.4459,-1.8295,2.3227
1.144244,0.3342,-1.5197,2.0558
1.153215,0.2698,-1.1337,1.5986
1.163343,0.3523,-0.9576,1.034
1.173827,0.5067,-0.9493,0.2938
1.187334,0.752,-0.9239,-0.2841
1.194172,0.8701,-0.7456,-0.5884
1.203586,0.7796,-0.6009,-0.7497
1.221011,0.557,-0.5499,-0.8287
1.22486,0.2408,-0.6145,-0.7095
1.236923,-0.0805,-0.7362,-0.5867
1.243726,-0.2664,-0.8493,-0.5075
1.256554,-0.31,-0.8784,-0.5044
1.272794,-0.3509,-0.8553,-0.5462
1.276242,-0.3527,-0.8134,-0.5797
1.290254,-0.3819,-0.7405,-0.5659
1.29423,-0.3896,-0.6567,-0.5273
1.306579,-0.372,-0.5249,-0.5306
1.321687,-0.4613,-0.4038,-0.6554
1.324409,-0.4529,-0.3357,-0.8621
1.338123,-0.4223,-0.2675,-1.0531
1.344594,-0.36,-0.2074,-1.2883
1.355948,-0.2535,-0.1451,-1.4642
1.370442,-0.149,0.0067,-1.6566
1.375373,-0.0312,0.142,-1.8335
1.390057,0.0434,0.1964,-2.048
1.397233,0.0821,0.2187,-2.1997
1.405039,0.1344,0.2312,-2.2351
1.420753,0.1851,0.2739,-2.1747
1.425094,0.1694,0.3598,-1.96
1.438059,0.1006,0.3894,-1.7307
1.44539,0.1354,0.3898,-1.4599
1.455699,0.1879,0.387,-1.1079
1.47185,0.1504,0.3193,-0.7682
1.47554,0.1756,0.2204,-0.4714
1.487917,0.2425,0.1173,-0.1397
1.495555,0.3399,0.0273,0.0918
1.50596,0.4349,0.0025,0.2414
1.519881,0.379,0.0442,0.3341
1.526609,0.1788,0.1113,0.4112
1.53591,-0.1625,0.1794,0.4103
1.546026,-0.4561,0.299,0.3991
1.556266,-0.5536,0.372,0.3704
1.569742,-0.5019,0.4466,0.3576
1.576307,-0.3947,0.3741,0.4448
1.588092,-0.3631,0.2595,0.6706
1.597006,-0.4909,0.1502,0.9531
1.606843,-0.6689,-0.0366,1.2456
1.620154,-0.8871,-0.1955,1.4934
1.626551,-1.1726,-0.2082,1.6027
1.636719,-1.3047,0.0057,1.4178
1.646742,-1.3127,0.4263,0.9115
1.656778,-1.1481,0.7563,0.3073
1.669477,-0.8443,0.778,-0.0652
1.676849,-1.3752,0.7417,-0.1945
1.688381,-1.6113,0.4119,0.6687
1.697481,-1.7511,-0.5137,1.9309
1.707433,-1.6607,-1.3071,3.0148
1.720183,-1.7914,-1.8944,3.6643
1.72771,-1.9674,-2.2081,3.9104
1.73829,-1.911,-2.3589,3.7307
1.756103,-1.724,-2.3361,3.022
1.757866,-1.4607,-2.1057,1.8659
1.770358,-1.3156,-1.6874,0.7201
1.778164,-1.2686,-1.2869,-0.3092
1.787736,-1.1997,-0.8903,-1.145
1.805555,-1.1813,-0.458,-1.5411
1.807895,-1.23,-0.1589,-1.6135
1.820408,-1.2389,-0.0419,-1.4952
1.827881,-1.1382,-0.1219,-1.1978
1.838588,-1.0725,-0.3628,-0.9849
1.853195,-0.9426,-0.4732,-0.8497
1.858394,-0.9408,-0.5891,-0.9012
1.870359,-1.0212,-0.7029,-1.0433
1.878215,-1.2404,-0.7903,-1.2537
1.888547,-1.312,-0.7828,-1.3511
1.903679,-1.2188,-0.8156,-1.1811
1.90881,-1.083,-0.8193,-0.9133
1.922075,-0.9717,-0.7851,-0.6832
1.929248,-0.925,-0.6636,-0.611
1.939001,-0.9194,-0.5041,-0.702
1.954454,-0.9576,-0.3928,-0.9751
1.959519,-0.9699,-0.3693,-1.3107
1.974201,-0.9564,-0.4002,-1.5806
1.979521,-0.9401,-0.3757,-1.8159
1.989359,-0.8202,-0.2994,-1.9238
2.006048,-0.703,-0.2082,-1.9155
2.009529,-0.699,-0.1042,-1.8828
2.022022,-0.7108,0.029,-1.8715
2.029876,-0.7494,0.1453,-1.8813
2.040683,-0.763,0.1985,-1.8617
2.054645,-0.7613,0.2143,-1.7986
2.059595,-0.7127,0.2294,-1.6853
2.079005,-0.6849,0.2876,-1.5142
2.080435,-0.6937,0.3015,-1.1932
2.090292,-0.7089,0.2695,-0.8402
2.102824,-0.7088,0.2142,-0.5078
2.111937,-0.7026,0.1897,-0.2445
2.12092,-0.6933,0.1871,0.057
2.130447,-0.714,0.1789,0.3336
2.142112,-0.7341,0.2126,0.5388
2.152115,-0.7263,0.2773,0.7244
2.160336,-0.6914,0.326,0.8929
2.170691,-0.596,0.3927,1.0058
2.181096,-0.5456,0.4417,1.0239
2.19082,-0.4748,0.4586,1.1002
2.203569,-0.4099,0.3999,1.1806
2.211017,-0.3351,0.273,1.3529
2.221142,-0.1825,0.0599,1.6121
2.237936,-0.0467,-0.1476,1.878
2.24208,0.0943,-0.1992,2.0098
2.254972,0.2525,0.0645,1.7817
2.262563,0.3217,0.2819,1.2613
2.27116,0.3014,0.2098,0.8236
2.290058,0.3644,0.137,0.7972
2.291587,0.47,0.2413,0.9884
2.302643,0.6015,0.2144,1.2888
2.311755,0.6808,-0.1011,1.8058
2.322749,0.6942,-0.4807,2.3788
2.339544,1.0326,-0.5244,2.2269
2.342447,0.4607,-0.6143,2.1764
2.355921,-0.0218,-0.7134,1.7399
2.362754,-0.1412,-0.8825,1.2708
2.372264,0.1221,-1.092,0.8673
2.386352,0.7017,-1.2414,0.4618
2.392675,1.1084,-1.3103,0.4727
2.408297,1.0959,-1.0049,0.3491
2.41304,0.9251,-1.0313,0.2564
2.432124,0.7264,-1.2016,0.1898
2.433606,0.3554,-1.4096,0.0347
2.443236,0.3502,-1.8782,0.1304
2.454261,0.3113,-2.11,0.0051
2.462469,-0.1039,-1.8287,0.0832
2.472588,-0.5882,-1.2788,0.4012
2.489553,-0.7729,-0.7537,0.5992
2.493092,-0.584,-0.4743,0.7178
2.506408,-0.1259,-0.2952,0.8313
2.514586,0.2693,-0.1054,1.0746
2.525164,0.5375,0.1559,1.3113
2.539414,0.826,0.3263,0.7606
2.543085,0.9234,0.4951,0.1551
2.554373,0.7724,0.4427,-0.2245
2.563429,0.365,0.4522,-0.7756
2.573216,-0.2308,0.5222,-1.512
2.587702,-0.5449,0.3638,-2.1452
2.593842,-0.6013,0.3815,-2.6161
2.603513,0.4458,0.2544,-3.3979
