time,x,y,z
0.014225,-0.261,-0.228,0.304
0.027637,-0.266,-0.487,0.113
0.031962,-0.235,-0.554,-0.016
0.034208,-0.227,-0.545,-0.034
0.036779,-0.215,-0.533,-0.054
0.039195,-0.205,-0.516,-0.07
0.052639,-0.195,-0.496,-0.085
0.06768,-0.097,-0.36,-0.156
0.072056,0.031,-0.26,-0.218
0.084613,0.055,-0.254,-0.233
0.087067,0.161,-0.236,-0.317
0.096267,0.199,-0.237,-0.352
0.099599,0.262,-0.267,-0.393
0.102189,0.281,-0.284,-0.41
0.10491,0.296,-0.306,-0.424
0.113101,0.309,-0.327,-0.439
0.117393,0.344,-0.44,-0.521
0.119908,0.348,-0.479,-0.548
0.122417,0.349,-0.521,-0.575
0.130332,0.351,-0.562,-0.605
0.135029,0.351,-0.704,-0.73
0.137443,0.352,-0.733,-0.762
0.147102,0.358,-0.755,-0.795
0.150024,0.406,-0.807,-0.918
0.152594,0.425,-0.81,-0.947
0.155421,0.445,-0.805,-0.973
0.163775,0.467,-0.8,-0.999
0.167829,0.551,-0.732,-1.096
0.170202,0.569,-0.703,-1.12
0.172757,0.589,-0.672,-1.142
0.18276,0.611,-0.641,-1.165
0.18529,0.681,-0.514,-1.25
0.187676,0.696,-0.493,-1.268
0.198279,0.709,-0.475,-1.289
0.200824,0.728,-0.452,-1.359
0.204984,0.732,-0.45,-1.378
0.205742,0.736,-0.454,-1.399
0.212979,0.744,-0.467,-1.421
0.21346,0.753,-0.479,-1.44
0.213666,0.765,-0.498,-1.458
0.218077,0.796,-0.543,-1.491
0.220631,0.816,-0.571,-1.506
0.229389,0.837,-0.602,-1.522
0.233375,0.913,-0.768,-1.604
0.235721,0.93,-0.806,-1.63
0.238122,0.952,-0.839,-1.657
0.246812,0.974,-0.871,-1.688
0.250826,1.075,-0.991,-1.811
0.253387,1.1,-1.025,-1.836
0.255869,1.127,-1.059,-1.855
0.263596,1.153,-1.1,-1.87
0.268288,1.222,-1.241,-1.927
0.271045,1.237,-1.255,-1.939
0.279537,1.251,-1.262,-1.949
0.283448,1.304,-1.28,-1.973
0.285934,1.32,-1.29,-1.964
0.28838,1.338,-1.305,-1.952
0.295967,1.357,-1.321,-1.937
0.298433,1.404,-1.362,-1.895
0.301198,1.417,-1.37,-1.884
0.303594,1.429,-1.378,-1.878
0.306084,1.442,-1.388,-1.874
0.314241,1.454,-1.405,-1.869
0.318836,1.468,-1.554,-1.86
0.321445,1.461,-1.604,-1.864
0.330788,1.45,-1.659,-1.868
0.33392,1.361,-1.895,-1.94
0.336477,1.333,-1.956,-1.965
0.338969,1.305,-2.019,-1.996
0.346173,1.278,-2.081,-2.019
0.348927,1.205,-2.285,-2.09
0.351605,1.187,-2.345,-2.11
0.354015,1.171,-2.396,-2.126
0.364289,1.162,-2.436,-2.137
0.366789,1.192,-2.533,-2.142
0.36942,1.215,-2.537,-2.136
0.371671,1.244,-2.529,-2.129
0.379976,1.283,-2.512,-2.116
0.384242,1.513,-2.426,-2.021
0.386752,1.58,-2.408,-1.981
0.389165,1.649,-2.395,-1.943
0.396644,1.716,-2.384,-1.898
0.399273,1.863,-2.382,-1.769
0.402051,1.89,-2.385,-1.73
0.404433,1.904,-2.388,-1.694
0.413329,1.904,-2.393,-1.655
0.41723,1.808,-2.45,-1.549
0.419654,1.766,-2.471,-1.532
0.422101,1.722,-2.494,-1.52
0.429913,1.687,-2.498,-1.512
0.434776,1.55,-2.612,-1.525
0.437702,1.508,-2.673,-1.521
0.448475,1.469,-2.728,-1.518
0.452657,1.295,-2.825,-1.585
0.455449,1.275,-2.831,-1.605
0.466306,1.264,-2.843,-1.623
0.470096,1.303,-2.92,-1.658
0.472721,1.316,-2.921,-1.656
0.481242,1.326,-2.915,-1.657
0.485396,1.334,-2.891,-1.652
0.487647,1.322,-2.898,-1.651
0.497677,1.304,-2.912,-1.649
0.500471,1.168,-2.988,-1.641
0.503237,1.12,-3.006,-1.639
0.50521,1.068,-3.026,-1.633
0.512297,1.013,-3.046,-1.623
0.512429,0.956,-3.066,-1.608
0.512725,0.894,-3.085,-1.592
0.515425,0.839,-3.106,-1.571
0.517839,0.779,-3.126,-1.554
0.520377,0.727,-3.147,-1.53
0.522902,0.676,-3.169,-1.515
0.529422,0.629,-3.188,-1.493
0.529515,0.589,-3.202,-1.475
0.530277,0.557,-3.211,-1.454
0.532758,0.529,-3.22,-1.434
0.535651,0.505,-3.226,-1.412
0.537753,0.485,-3.232,-1.391
0.547187,0.47,-3.232,-1.371
0.551711,0.431,-3.155,-1.306
0.553065,0.424,-3.117,-1.289
0.555518,0.423,-3.073,-1.265
0.563478,0.423,-3.026,-1.237
0.567923,0.412,-2.822,-1.083
0.570679,0.404,-2.776,-1.035
0.573187,0.392,-2.732,-0.988
0.581855,0.379,-2.688,-0.943
0.585747,0.283,-2.529,-0.788
0.588376,0.251,-2.499,-0.758
0.599504,0.215,-2.48,-0.731
0.603537,0.016,-2.477,-0.626
0.606013,-0.024,-2.499,-0.606
0.616263,-0.066,-2.525,-0.589
0.621224,-0.257,-2.665,-0.524
0.63221,-0.293,-2.696,-0.518
0.63637,-0.43,-2.809,-0.506
0.638991,-0.448,-2.82,-0.505
0.647453,-0.46,-2.826,-0.502
0.651191,-0.477,-2.813,-0.436
0.653707,-0.478,-2.797,-0.408
0.656883,-0.48,-2.773,-0.375
0.664309,-0.487,-2.745,-0.339
0.668781,-0.56,-2.635,-0.165
0.671557,-0.598,-2.613,-0.123
0.680113,-0.641,-2.594,-0.088
0.684078,-0.812,-2.543,0.047
0.686533,-0.854,-2.545,0.076
0.689116,-0.891,-2.551,0.099
0.703329,-0.928,-2.559,0.113
0.708,-1.107,-2.627,0.099
0.721677,-1.131,-2.646,0.08
0.727173,-1.208,-2.677,-0.053
0.727608,-1.216,-2.677,-0.077
0.737293,-1.227,-2.666,-0.124
0.747358,-1.244,-2.576,-0.192
0.752164,-1.257,-2.444,-0.188
0.754429,-1.258,-2.399,-0.182
0.764062,-1.257,-2.351,-0.169
0.767218,-1.26,-2.162,-0.096
0.769608,-1.263,-2.117,-0.07
0.772148,-1.269,-2.071,-0.047
0.77858,-1.279,-2.026,-0.025
0.77872,-1.288,-1.981,-0.004
0.779938,-1.296,-1.946,0.012
0.782256,-1.304,-1.92,0.033
0.785031,-1.312,-1.9,0.051
0.787236,-1.322,-1.883,0.065
0.789796,-1.331,-1.874,0.079
0.795427,-1.339,-1.869,0.09
0.795523,-1.349,-1.872,0.094
0.797381,-1.358,-1.88,0.091
0.800027,-1.363,-1.898,0.084
0.802859,-1.37,-1.919,0.072
0.805106,-1.375,-1.947,0.053
0.813241,-1.378,-1.975,0.034
0.817426,-1.389,-2.044,-0.058
0.820476,-1.389,-2.046,-0.084
0.822708,-1.389,-2.042,-0.104
0.829567,-1.387,-2.032,-0.126
0.832465,-1.363,-1.965,-0.178
0.835311,-1.35,-1.932,-0.186
0.837602,-1.333,-1.89,-0.196
0.845865,-1.311,-1.849,-0.201
0.851057,-1.197,-1.639,-0.198
0.852954,-1.159,-1.588,-0.193
0.855306,-1.119,-1.541,-0.185
0.874319,-1.081,-1.497,-0.172
0.877771,-0.75,-1.176,-0.013
0.880316,-0.715,-1.14,0.007
0.882961,-0.68,-1.108,0.027
0.885465,-0.654,-1.084,0.043
0.888123,-0.629,-1.065,0.059
0.897178,-0.61,-1.049,0.077
0.901303,-0.597,-0.999,0.145
0.90316,-0.608,-0.991,0.159
0.905868,-0.626,-0.981,0.171
0.915038,-0.645,-0.978,0.184
0.920209,-0.759,-0.984,0.248
0.931999,-0.793,-0.986,0.263
0.935878,-0.988,-1.013,0.327
0.938308,-1.007,-1.03,0.333
0.947338,-1.022,-1.05,0.34
0.950982,-1.033,-1.123,0.37
0.953453,-1.026,-1.132,0.375
0.956007,-1.017,-1.141,0.375
0.963964,-1.003,-1.145,0.374
0.968794,-0.933,-1.166,0.382
0.971362,-0.914,-1.166,0.386
0.981622,-0.901,-1.163,0.389
0.986203,-0.858,-1.127,0.397
0.988823,-0.856,-1.113,0.401
0.997599,-0.86,-1.102,0.402
1.001464,-0.892,-1.067,0.407
1.004007,-0.904,-1.058,0.409
1.00651,-0.915,-1.047,0.407
1.014914,-0.928,-1.038,0.406
1.018873,-0.958,-0.996,0.405
1.02183,-0.961,-0.989,0.403
1.031226,-0.958,-0.982,0.403
1.033987,-0.928,-0.957,0.387
1.036478,-0.914,-0.957,0.383
1.039005,-0.896,-0.961,0.377
1.047675,-0.877,-0.971,0.374
1.051801,-0.804,-1.064,0.359
1.055459,-0.791,-1.098,0.355
1.05684,-0.786,-1.136,0.353
1.063432,-0.785,-1.171,0.36
1.066809,-0.818,-1.272,0.378
1.069287,-0.843,-1.302,0.385
1.071887,-0.88,-1.328,0.396
1.081859,-0.917,-1.35,0.412
1.084862,-1.108,-1.389,0.508
1.08719,-1.161,-1.392,0.533
1.089473,-1.212,-1.394,0.563
1.099644,-1.266,-1.393,0.589
1.102305,-1.437,-1.391,0.679
1.113371,-1.495,-1.404,0.712
1.116997,-1.553,-1.426,0.729
1.119847,-1.553,-1.425,0.722
1.122463,-1.549,-1.417,0.711
1.130389,-1.547,-1.411,0.699
1.134938,-1.533,-1.33,0.612
1.13772,-1.533,-1.301,0.59
1.148884,-1.535,-1.268,0.568
1.152364,-1.576,-1.093,0.516
1.154929,-1.581,-1.068,0.509
1.163389,-1.586,-1.051,0.507
1.167275,-1.559,-1.015,0.491
1.169978,-1.55,-1.02,0.489
1.17242,-1.529,-1.031,0.487
1.184209,-1.504,-1.043,0.49
1.187569,-1.408,-1.134,0.549
1.195847,-1.407,-1.148,0.57
1.200649,-1.436,-1.177,0.651
1.203046,-1.445,-1.18,0.668
1.205446,-1.446,-1.177,0.685
1.212284,-1.438,-1.172,0.703
1.215358,-1.437,-1.239,0.728
1.218016,-1.435,-1.261,0.729
1.220558,-1.444,-1.278,0.729
1.223434,-1.46,-1.278,0.726
1.229998,-1.475,-1.268,0.716
1.232797,-1.51,-1.212,0.671
1.235572,-1.517,-1.203,0.658
1.238171,-1.527,-1.19,0.643
1.245534,-1.538,-1.18,0.631
1.248084,-1.558,-1.149,0.612
1.250739,-1.557,-1.141,0.6
1.25316,-1.555,-1.138,0.591
1.255639,-1.548,-1.138,0.586
1.264605,-1.534,-1.147,0.578
1.268156,-1.396,-1.24,0.549
1.271153,-1.331,-1.249,0.562
1.273596,-1.249,-1.239,0.589
1.281726,-1.149,-1.203,0.64
1.286058,-0.611,-0.871,0.898
1.288367,-0.473,-0.829,0.927
1.297908,-0.347,-0.801,0.938
1.301021,0.022,-0.801,0.795
1.303416,0.081,-0.835,0.726
1.306012,0.132,-0.872,0.637
1.314208,0.169,-0.914,0.545
1.318528,0.12,-1.076,0.082
1.321306,0.061,-1.096,-0.033
1.33224,-0.01,-1.097,-0.148
1.336218,-0.668,-1.099,-0.913
1.338962,-0.842,-1.102,-1.091
1.352297,-1.04,-1.127,-1.267
1.356396,-2.27,-1.5,-2.039
1.365407,-2.387,-1.57,-2.126
1.369088,-2.523,-1.727,-2.507
1.371747,-2.487,-1.747,-2.615
1.38,-2.434,-1.766,-2.726
1.384161,-2.172,-1.909,-3.13
1.386673,-2.103,-1.977,-3.206
1.389351,-2.04,-2.063,-3.267
1.397531,-1.981,-2.172,-3.32
1.402299,-1.847,-2.724,-3.448
1.404495,-1.84,-2.847,-3.465
1.415011,-1.844,-2.949,-3.476
1.420605,-1.855,-2.546,-3.358
1.420818,-1.842,-2.372,-3.276
1.422588,-1.82,-2.206,-3.183
1.430606,-1.795,-2.04,-3.086
1.434374,-1.732,-1.131,-2.831
1.437048,-1.745,-0.913,-2.818
1.439719,-1.779,-0.695,-2.833
1.448078,-1.83,-0.504,-2.89
1.450829,-2.065,-0.131,-3.17
1.454526,-2.178,0.119,-3.356
1.462914,-2.219,0.211,-3.444
1.467198,-2.229,0.364,-3.837
1.471333,-2.209,0.291,-3.92
1.472436,-2.177,0.183,-3.987
1.479392,-2.137,0.001,-4.052
1.482723,-1.97,-0.779,-4.205
1.486346,-1.897,-1.079,-4.252
1.487746,-1.81,-1.385,-4.295
1.490118,-1.703,-1.714,-4.346
1.498453,-1.575,-2.08,-4.39
1.502801,-0.923,-3.621,-4.386
1.505601,-0.798,-3.956,-4.295
1.512306,-0.726,-4.084,-4.191
